ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-24T23:00:25.278Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,65,19.66,0.351,0.0,0.0,3,10.0,3.0,86.0,46.81
2026-05-24T23:02:11.911Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,487,4.75,0.209,0.0,0.0,1065,11.0,3.0,85.0,53.24
2026-05-24T23:02:16.910Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,69,17.12,0.258,0.0,0.0,49,11.0,3.0,85.0,53.68
2026-05-24T23:02:23.868Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,122,19.14,0.353,0.0,0.0,68,11.0,3.0,85.0,53.32
2026-05-24T23:02:30.576Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,67,13.69,0.267,0.0,0.0,65,11.0,3.0,85.0,53.35
2026-05-24T23:02:39.816Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,100,12.2,0.249,0.0,0.0,91,11.0,3.0,85.0,53.87
2026-05-24T23:02:47.790Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,95,14.18,0.238,0.0,0.0,78,11.0,3.0,85.0,53.76
2026-05-24T23:03:01.359Z,sess_b0614f55bc6a30c8,019e5c37-885e-7d03-8441-73d47e61295f,243,19.64,0.35,0.0,0.0,35,11.0,3.0,84.0,43.13
