# FR14 ablation A step 2: sglang decode-batch telemetry (their engine, our SWE agent traffic)
# first 30 and last 30 'Decode batch' lines of 1017 samples; full log kept at /home/mark/shared/tmp-scratch/fr14_ablation_a/step2/sglang_full.log

[2026-08-16 23:44:25] Decode batch, #running-req: 1, #full token: 29648, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.42, accept rate: 0.81, cuda graph: True, gen throughput (token/s): 24.22, #queue-req: 0
[2026-08-16 23:44:29] Decode batch, #running-req: 1, #full token: 29787, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.50, accept rate: 0.83, cuda graph: True, gen throughput (token/s): 30.26, #queue-req: 0
[2026-08-16 23:44:34] Decode batch, #running-req: 1, #full token: 29918, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.33, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 28.71, #queue-req: 0
[2026-08-16 23:44:39] Decode batch, #running-req: 1, #full token: 30077, full token usage: 0.04, mamba num: 4, mamba usage: 0.05, accept len: 3.98, accept rate: 0.99, cuda graph: True, gen throughput (token/s): 34.41, #queue-req: 0
...
[2026-08-17 01:08:08] Decode batch, #running-req: 1, #full token: 46192, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.08, accept rate: 0.69, cuda graph: True, gen throughput (token/s): 21.66, #queue-req: 0
[2026-08-17 01:08:13] Decode batch, #running-req: 1, #full token: 46301, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 2.73, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 22.88, #queue-req: 0
[2026-08-17 01:08:18] Decode batch, #running-req: 1, #full token: 46889, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.48, accept rate: 0.82, cuda graph: True, gen throughput (token/s): 26.16, #queue-req: 0
[2026-08-17 01:08:24] Decode batch, #running-req: 1, #full token: 47440, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.70, accept rate: 0.90, cuda graph: True, gen throughput (token/s): 26.11, #queue-req: 0
[2026-08-17 01:08:29] Decode batch, #running-req: 1, #full token: 47564, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.15, accept rate: 0.72, cuda graph: True, gen throughput (token/s): 26.43, #queue-req: 0
[2026-08-17 01:08:33] Decode batch, #running-req: 1, #full token: 47716, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.80, accept rate: 0.93, cuda graph: True, gen throughput (token/s): 31.82, #queue-req: 0
[2026-08-17 01:08:38] Decode batch, #running-req: 1, #full token: 47849, full token usage: 0.06, mamba num: 4, mamba usage: 0.05, accept len: 3.33, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 27.87, #queue-req: 0
[2026-08-17 01:08:44] Decode batch, #running-req: 1, #full token: 48593, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.52, accept rate: 0.84, cuda graph: True, gen throughput (token/s): 24.72, #queue-req: 0
[2026-08-17 01:08:49] Decode batch, #running-req: 1, #full token: 48709, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.90, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 24.33, #queue-req: 0
[2026-08-17 01:08:53] Decode batch, #running-req: 1, #full token: 48854, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.62, accept rate: 0.88, cuda graph: True, gen throughput (token/s): 30.33, #queue-req: 0
[2026-08-17 01:08:58] Decode batch, #running-req: 1, #full token: 48981, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.12, accept rate: 0.71, cuda graph: True, gen throughput (token/s): 26.13, #queue-req: 0
[2026-08-17 01:09:03] Decode batch, #running-req: 1, #full token: 49121, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.55, accept rate: 0.85, cuda graph: True, gen throughput (token/s): 29.81, #queue-req: 0
[2026-08-17 01:09:08] Decode batch, #running-req: 1, #full token: 49271, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.75, accept rate: 0.92, cuda graph: True, gen throughput (token/s): 31.48, #queue-req: 0
[2026-08-17 01:09:12] Decode batch, #running-req: 1, #full token: 49415, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.60, accept rate: 0.87, cuda graph: True, gen throughput (token/s): 30.28, #queue-req: 0
[2026-08-17 01:09:19] Decode batch, #running-req: 1, #full token: 50412, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.75, accept rate: 0.58, cuda graph: True, gen throughput (token/s): 17.66, #queue-req: 0
[2026-08-17 01:09:23] Decode batch, #running-req: 1, #full token: 50535, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.05, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 25.56, #queue-req: 0
[2026-08-17 01:09:28] Decode batch, #running-req: 1, #full token: 50637, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.55, accept rate: 0.52, cuda graph: True, gen throughput (token/s): 21.37, #queue-req: 0
[2026-08-17 01:09:33] Decode batch, #running-req: 1, #full token: 50730, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.33, accept rate: 0.44, cuda graph: True, gen throughput (token/s): 19.43, #queue-req: 0
[2026-08-17 01:09:38] Decode batch, #running-req: 1, #full token: 50854, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.05, accept rate: 0.68, cuda graph: True, gen throughput (token/s): 25.48, #queue-req: 0
[2026-08-17 01:09:43] Decode batch, #running-req: 1, #full token: 50967, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.83, accept rate: 0.61, cuda graph: True, gen throughput (token/s): 23.58, #queue-req: 0
[2026-08-17 01:09:47] Decode batch, #running-req: 1, #full token: 51097, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.33, accept rate: 0.78, cuda graph: True, gen throughput (token/s): 27.73, #queue-req: 0
[2026-08-17 01:09:53] Decode batch, #running-req: 1, #full token: 51455, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.92, accept rate: 0.64, cuda graph: True, gen throughput (token/s): 19.11, #queue-req: 0
[2026-08-17 01:09:58] Decode batch, #running-req: 1, #full token: 51558, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.65, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 22.15, #queue-req: 0
[2026-08-17 01:10:03] Decode batch, #running-req: 1, #full token: 51674, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.90, accept rate: 0.63, cuda graph: True, gen throughput (token/s): 24.16, #queue-req: 0
[2026-08-17 01:10:10] Decode batch, #running-req: 1, #full token: 52803, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.10, accept rate: 0.70, cuda graph: True, gen throughput (token/s): 18.91, #queue-req: 0
[2026-08-17 01:10:14] Decode batch, #running-req: 1, #full token: 52937, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.40, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 28.24, #queue-req: 0
[2026-08-17 01:10:19] Decode batch, #running-req: 1, #full token: 53040, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.58, accept rate: 0.53, cuda graph: True, gen throughput (token/s): 21.43, #queue-req: 0
[2026-08-17 01:10:24] Decode batch, #running-req: 1, #full token: 53176, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 3.40, accept rate: 0.80, cuda graph: True, gen throughput (token/s): 28.20, #queue-req: 0
[2026-08-17 01:10:30] Decode batch, #running-req: 1, #full token: 53682, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.70, accept rate: 0.57, cuda graph: True, gen throughput (token/s): 17.43, #queue-req: 0
[2026-08-17 01:10:35] Decode batch, #running-req: 1, #full token: 53790, full token usage: 0.07, mamba num: 4, mamba usage: 0.05, accept len: 2.65, accept rate: 0.55, cuda graph: True, gen throughput (token/s): 22.02, #queue-req: 0
