variant	sha256	bytes	local_qrow32_launchers	admission
old_generic	e542927fe821e8ab9b5b8d6f724491bbfdd07bed517879a77479579a7908d0cd	299853224	qrow32	reject_old_source_and_dynamic_abi_drift
b1_combined	a9d8a6887b8b27b3a83af60bba7945eb66caff174ba710c2ee2aea92b8e7081a	300154616	qrow32_b1,qrow32_b1_split2	reject_b4_geometry
gqa_pair	543f353aed3af6307b988e0b2972e0bae4bb6025055840f8818a451bcfb1717e	299813360	qrow32_gqa_pair	separately_pinned_gqa_pair_arm
b4_bm32	77f3fb22c19d0eb2ac0ec28230cf9401221425692a505efde62aa838760d81ce	299876120	qrow32,qrow32_gqa_pair	cpu_codegen_admitted_live_byte_gate_pending
