kernel	dtype	incumbent_instructions	candidate_instructions	instruction_delta	instruction_reduction_percent	incumbent_branches	candidate_branches	incumbent_nops	candidate_nops	incumbent_sass_sha256	candidate_sass_sha256	status
wide256	fp16	1080	784	-296	27.407407	35	31	34	32	06a2c900652afbb47265af6f6e622514831ec1e1788b440e3bca19a67ac64c63	1593bfd93613365a34e6d95ce657fa8c84f230e6b5d9a6e39ea5b47640a285d5	candidate_reduced
wide256	bf16	1080	784	-296	27.407407	35	31	34	32	b06db6d2ecae2fd287af81c4fd92805323aead98e81a792b8d3a3396d1ecf	fd2006cbe77a9e67bd17cf7dd29f748fd0d127759452d5487d8a407a670d95f3	candidate_reduced
m128_neighbor	fp16	968	968	0	0.000000	39	39	31	31	f597d88a68b6ff9b12e6ff3878141ff1fe5b7ff89930b89ea6f3bd5a530d965e	f597d88a68b6ff9b12e6ff3878141ff1fe5b7ff89930b89ea6f3bd5a530d965e	byte_identical
m128_neighbor	bf16	968	968	0	0.000000	39	39	31	31	2473560473b79a6734a034768522aca9adb74955ddd48e576e2c80a8dbe60f9d	2473560473b79a6734a034768522aca9adb74955ddd48e576e2c80a8dbe60f9d	byte_identical
