ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-06-04T03:02:10.907097+00:00,fr10_quick_tree_mtp,tree_mtp_prompt0_sample0,128,29.49,,4,0,43,5.0,8.0,96.0,56.21
2026-06-04T03:02:17.153559+00:00,fr10_quick_tree_mtp,tree_mtp_prompt1_sample0,128,20.49,,4,0,63,8.0,7.0,96.0,54.68
2026-06-04T03:02:22.146948+00:00,fr10_quick_tree_mtp,tree_mtp_prompt2_sample0,128,25.63,,4,0,49,6.0,6.0,96.0,58.41
2026-06-04T03:02:28.441219+00:00,fr10_quick_tree_mtp,tree_mtp_prompt3_sample0,128,20.34,,4,0,63,7.0,7.0,96.0,54.87
