ts_completed,oracle_session_id,oracle_run_anchor,completion_tokens,decode_tps,accept_ratio,running_before,running_after,gpu_samples,tensor_active_med,sm_issue_med,sms_active_med,power_w
2026-05-25T01:22:37.224Z,sess_09810daa7c6d1ffb,019e5cb9-a83e-7833-b29d-0792f100d175,162,12.34,0.963,0.0,0.0,81,9.0,3.0,87.0,49.02
2026-05-25T01:22:45.605Z,sess_09810daa7c6d1ffb,019e5cb9-a83e-7833-b29d-0792f100d175,70,12.3,0.944,0.0,0.0,82,11.0,3.0,87.0,49.6
2026-05-25T01:24:29.285Z,sess_09810daa7c6d1ffb,019e5cb9-a83e-7833-b29d-0792f100d175,1199,11.86,0.903,0.0,0.0,1035,10.0,3.0,86.0,52.01
2026-05-25T01:25:18.750Z,sess_09810daa7c6d1ffb,019e5cb9-a83e-7833-b29d-0792f100d175,240,5.73,0.935,0.0,0.0,264,11.0,3.0,86.0,41.87
