arm	block_m	ctas_per_layer	threads_per_cta	registers	stack_bytes	local_bytes	static_shared_bytes	static_sass_instructions	object_bytes	object_sha256	combine_sass_sha256
bm4_control	4	192	128	44	0	0	1072	1080	784160	1d7a2a139af0bf930f49bf7218ece39620f53f7238bf1a3d4f4876c4ea5c6c9f	e7ab06a3000d6151607d2c99bec6764fbf15a1099e3723a5c393026056c4a89f
bm16_candidate	16	48	128	76	0	0	1168	1056	783568	fc0872481d840bbce2c5b2cf10f3b3e58383940f52dce383e96abc5cb7a40573	65c924e5ad18d627f669b57fc133e2435ac9e2610653ef85751dc2d17ca84d61
